epoch:0, lr:2.4968057921635433e-05, train_loss:1.015291, test_loss:0.975971
epoch:293, lr:9.060521002931518e-05, train_loss:0.600990, test_loss:0.644916

epoch:294, lr:8.902043568354432e-05, train_loss:0.600944, test_loss:0.644576

epoch:295, lr:8.744663597924952e-05, train_loss:0.600926, test_loss:0.644566

epoch:296, lr:8.5883918208854e-05, train_loss:0.600663, test_loss:0.644656

epoch:297, lr:8.433238890927947e-05, train_loss:0.600581, test_loss:0.644296

epoch:298, lr:8.279215385468353e-05, train_loss:0.600355, test_loss:0.644167

epoch:299, lr:8.126331804924845e-05, train_loss:0.599861, test_loss:0.643800

epoch:300, lr:7.974598572002259e-05, train_loss:0.600301, test_loss:0.644038

epoch:301, lr:7.82402603098149e-05, train_loss:0.599973, test_loss:0.644421

epoch:302, lr:7.674624447014267e-05, train_loss:0.600130, test_loss:0.644019

epoch:303, lr:7.526404005423363e-05, train_loss:0.600083, test_loss:0.643226

epoch:304, lr:7.379374811008174e-05, train_loss:0.600363, test_loss:0.643599

epoch:305, lr:7.233546887355877e-05, train_loss:0.599560, test_loss:0.643577

epoch:306, lr:7.088930176158031e-05, train_loss:0.599753, test_loss:0.643282

epoch:307, lr:6.945534536532886e-05, train_loss:0.599368, test_loss:0.643014

epoch:308, lr:6.803369744353171e-05, train_loss:0.599447, test_loss:0.642797

epoch:309, lr:6.662445491579666e-05, train_loss:0.599129, test_loss:0.643326

epoch:310, lr:6.522771385600482e-05, train_loss:0.598719, test_loss:0.642857

epoch:311, lr:6.384356948576037e-05, train_loss:0.599093, test_loss:0.642358

epoch:312, lr:6.247211616789916e-05, train_loss:0.599034, test_loss:0.642518

epoch:313, lr:6.111344740005564e-05, train_loss:0.598773, test_loss:0.642625

epoch:314, lr:5.976765580828891e-05, train_loss:0.598621, test_loss:0.642720

epoch:315, lr:5.843483314076756e-05, train_loss:0.598505, test_loss:0.642370

epoch:316, lr:5.711507026151519e-05, train_loss:0.598640, test_loss:0.642111

epoch:317, lr:5.5808457144215676e-05, train_loss:0.598299, test_loss:0.641842

epoch:318, lr:5.4515082866079344e-05, train_loss:0.598330, test_loss:0.642329

epoch:319, lr:5.323503560177026e-05, train_loss:0.598083, test_loss:0.642317

epoch:320, lr:5.1968402617394774e-05, train_loss:0.598192, test_loss:0.641594

epoch:321, lr:5.0715270264552665e-05, train_loss:0.597776, test_loss:0.641534

epoch:322, lr:4.947572397444969e-05, train_loss:0.597589, test_loss:0.641834

epoch:323, lr:4.824984825207371e-05, train_loss:0.597467, test_loss:0.641361

epoch:324, lr:4.703772667043355e-05, train_loss:0.597370, test_loss:0.641431

epoch:325, lr:4.5839441864861445e-05, train_loss:0.597385, test_loss:0.641381

epoch:326, lr:4.465507552737949e-05, train_loss:0.597261, test_loss:0.641113

epoch:327, lr:4.348470840113042e-05, train_loss:0.597120, test_loss:0.640862

epoch:328, lr:4.23284202748728e-05, train_loss:0.597293, test_loss:0.641042

epoch:329, lr:4.118628997754187e-05, train_loss:0.597007, test_loss:0.641061

epoch:330, lr:4.0058395372875005e-05, train_loss:0.597014, test_loss:0.640740

epoch:331, lr:3.894481335410374e-05, train_loss:0.596804, test_loss:0.640730

epoch:332, lr:3.784561983871154e-05, train_loss:0.596530, test_loss:0.640498

epoch:333, lr:3.676088976325814e-05, train_loss:0.596809, test_loss:0.640516

epoch:334, lr:3.5690697078270966e-05, train_loss:0.596405, test_loss:0.640581

epoch:335, lr:3.4635114743203386e-05, train_loss:0.596598, test_loss:0.640889

epoch:336, lr:3.359421472146107e-05, train_loss:0.596641, test_loss:0.640451

epoch:337, lr:3.2568067975495665e-05, train_loss:0.596626, test_loss:0.639997

epoch:338, lr:3.155674446196705e-05, train_loss:0.596017, test_loss:0.640469

epoch:339, lr:3.0560313126974184e-05, train_loss:0.596396, test_loss:0.640251

epoch:340, lr:2.9578841901354902e-05, train_loss:0.596334, test_loss:0.640304

epoch:341, lr:2.861239769605442e-05, train_loss:0.595922, test_loss:0.640050

epoch:342, lr:2.7661046397563978e-05, train_loss:0.595628, test_loss:0.639838

